ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.819742399995448,20.819742399995448,space,0.950827599997865,,,,,,,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
0,0,0,0,0,0,0,0,,,,,0.3760603093086394,0.5,25.248062800004845,25.248062800004845,30.33885129999544,30.33885129999544,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
0,0,0,0,,,,,,,,,,,,,,,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
1,0,1,0,0,0,0,0,,,,,0.1414213562373095,0.5,30.33885129999544,30.33885129999544,35.38814650000131,35.38814650000131,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
1,0,1,0,,,,,,,,,,,,,,,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
2,0,2,0,0,0,0,0,,,,,0.3760603093086394,0.5,35.38814650000131,35.38814650000131,40.43618449999485,40.43618449999485,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
2,0,2,0,,,,,,,,,,,,,,,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,40.43618449999485,40.43618449999485,,,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
3,0,3,0,,,,,,,,,,,,,,,,469203,001,3,2024-06-30_18h40.00.251,stimuli3,2022.2.5,165.58841016475637,
,,,,,,,,,,,,0.1414213562373095,0.5,,,,,,,,,,,,,
